"FlagID","FlagAbv","SpeciesAbv","GearAbv","mt","Year"
28,"VUT","BET","LL",1258.00,2003
23,"KOR","BET","LL",10729.00,2004
24,"TWN","BET","LL",7384.00,2004
46,"PYF","BET","LL",404.86,2004
43,"CHN","BET","LL",2645.17,2004
31,"BLZ","BET","LL",120.00,2004
30,"HND","BET","LL",9.35,2004
28,"VUT","BET","LL",407.00,2004
2,"CHL","BET","LL",9.00,2004
10,"USA","BET","LL",149.00,2004
8,"PAN","BET","LL",48.00,2004
6,"JPN","BET","LL",21235.50,2004
5,"ECU","BET","NK",185.00,2004
5,"ECU","BET","LL",311.85,2004
4,"CRI","BET","LL",21.00,2004
12,"ESP","BET","LL",4.60,2004
26,"SLV","BET","LL",4.00,2004
6,"JPN","BET","LL",19113.00,2005
46,"PYF","BET","LL",398.30,2005
43,"CHN","BET","LL",2104.00,2005
31,"BLZ","BET","LL",112.00,2005
28,"VUT","BET","LL",317.70,2005
24,"TWN","BET","LL",6441.00,2005
23,"KOR","BET","LL",11580.00,2005
8,"PAN","BET","LL",30.00,2005
5,"ECU","BET","LL",39.00,2005
4,"CRI","BET","LL",23.00,2005
2,"CHL","BET","NK",24.00,2005
10,"USA","BET","LL",536.00,2005
23,"KOR","BET","LL",6731.63,2006
10,"USA","BET","LL",85.00,2006
46,"PYF","BET","LL",388.00,2006
43,"CHN","BET","LL",709.00,2006
31,"BLZ","BET","LL",74.99,2006
28,"VUT","BET","LL",959.50,2006
10,"USA","BET","GN",4.00,2006
2,"CHL","BET","NK",36.00,2006
8,"PAN","BET","LL",37.00,2006
6,"JPN","BET","LL",16235.00,2006
5,"ECU","BET","LL",120.00,2006
4,"CRI","BET","LL",18.00,2006
24,"TWN","BET","LL",6412.00,2006
10,"USA","BET","LL",417.00,2007
46,"PYF","BET","LL",361.00,2007
43,"CHN","BET","LL",2324.00,2007
31,"BLZ","BET","LL",93.00,2007
28,"VUT","BET","LL",1013.00,2007
24,"TWN","BET","LL",6057.00,2007
10,"USA","BET","NK",3.00,2007
10,"USA","BET","GN",4.00,2007
6,"JPN","BET","LL",13976.60,2007
5,"ECU","BET","LLX",8.29,2007
4,"CRI","BET","LL",15.00,2007
2,"CHL","BET","NK",37.00,2007
23,"KOR","BET","LL",5611.00,2007
10,"USA","BET","LL",1277.00,2008
46,"PYF","BET","LL",367.00,2008
43,"CHN","BET","LL",2379.00,2008
31,"BLZ","BET","LL",89.00,2008
28,"VUT","BET","LL",789.70,2008
26,"SLV","BET","LL",7.25,2008
6,"JPN","BET","LL",14908.50,2008
5,"ECU","BET","LLX",12.03,2008
5,"ECU","BET","LL",360.46,2008
4,"CRI","BET","LL",16.00,2008
2,"CHL","BET","NK",28.00,2008
24,"TWN","BET","LL",1852.00,2008
23,"KOR","BET","LL",4150.00,2008
10,"USA","BET","LL",730.00,2009
46,"PYF","BET","LL",484.00,2009
43,"CHN","BET","LL",2481.00,2009
31,"BLZ","BET","LL",315.00,2009
28,"VUT","BET","LL",1032.20,2009
23,"KOR","BET","LL",6758.00,2009
6,"JPN","BET","LL",15490.00,2009
5,"ECU","BET","LLX",238.20,2009
5,"ECU","BET","LL",484.74,2009
4,"CRI","BET","LL",13.00,2009
2,"CHL","BET","NK",15.00,2009
24,"TWN","BET","LL",3396.00,2009
6,"JPN","BET","LL",15847.00,2010
46,"PYF","BET","LL",314.00,2010
43,"CHN","BET","LL",2490.00,2010
31,"BLZ","BET","LL",34.00,2010
28,"VUT","BET","LL",1496.30,2010
23,"KOR","BET","LL",9244.00,2010
24,"TWN","BET","LL",5276.00,2010
46,"PYF","BET","NK",0.00,2010
10,"USA","BET","LLD",1356.00,2010
5,"ECU","BET","LLX",446.02,2010
5,"ECU","BET","LL",406.21,2010
4,"CRI","BET","LL",4.29,2010
2,"CHL","BET","NK",2.00,2010
12,"ESP","BET","LL",171.12,2010
21,"PRT","BET","LL",2.00,2010
21,"PRT","BET","LL",4.36,2011
46,"PYF","BET","LL",445.00,2011
43,"CHN","BET","LL",5450.00,2011
31,"BLZ","BET","LL",5.56,2011
28,"VUT","BET","LL",693.80,2011
23,"KOR","BET","LL",6617.00,2011
12,"ESP","BET","LL",166.72,2011
10,"USA","BET","LLD",1050.00,2011
6,"JPN","BET","LL",13399.00,2011
5,"ECU","BET","LLX",412.48,2011
5,"ECU","BET","LL",116.52,2011
24,"TWN","BET","LL",3957.00,2011
21,"PRT","BET","LL",8.30,2012
23,"KOR","BET","LL",7450.00,2012
46,"PYF","BET","NK",8.00,2012
46,"PYF","BET","LL",464.00,2012
43,"CHN","BET","LL",4386.00,2012
31,"BLZ","BET","LL",12.25,2012
28,"VUT","BET","LL",1063.30,2012
26,"SLV","BET","LL",1.50,2012
4,"CRI","BET","LL",3.00,2012
12,"ESP","BET","LL",109.06,2012
10,"USA","BET","LLD",874.81,2012
10,"USA","BET","GN",0.03,2012
9,"PER","BET","NK",18.58,2012
6,"JPN","BET","LL",16323.20,2012
5,"ECU","BET","LLX",471.72,2012
24,"TWN","BET","LL",4999.45,2012
12,"ESP","BET","LL",65.91,2013
46,"PYF","BET","LL",527.00,2013
43,"CHN","BET","LL",5199.00,2013
31,"BLZ","BET","LL",181.90,2013
28,"VUT","BET","LL",604.20,2013
23,"KOR","BET","LL",8821.51,2013
46,"PYF","BET","NK",16.00,2013
10,"USA","BET","LL",2054.27,2013
9,"PER","BET","NK",82.24,2013
6,"JPN","BET","LL",14258.30,2013
5,"ECU","BET","LLX",330.02,2013
2,"CHL","BET","NK",1.00,2013
24,"TWN","BET","LL",4162.11,2013
23,"KOR","BET","LL",8203.00,2014
46,"PYF","BET","LL",525.84,2014
46,"PYF","BET","NK",15.45,2014
43,"CHN","BET","LL",5253.00,2014
31,"BLZ","BET","LL",24.00,2014
28,"VUT","BET","LL",897.20,2014
24,"TWN","BET","LL",4511.00,2014
10,"USA","BET","OTR",7.65,2014
10,"USA","BET","LL",2073.00,2014
10,"USA","BET","GN",0.36,2014
9,"PER","BET","NK",154.00,2014
8,"PAN","BET","LL",114.00,2014
4,"CRI","BET","LL",8.97,2014
6,"JPN","BET","LL",13634.30,2014
12,"ESP","BET","LL",96.10,2014
46,"PYF","BET","LL",692.00,2015
46,"PYF","BET","NK",20.00,2015
43,"CHN","BET","LL",8400.70,2015
28,"VUT","BET","LL",1888.00,2015
24,"TWN","BET","LL",5181.03,2015
23,"KOR","BET","LL",8635.00,2015
21,"PRT","BET","LLD",7.00,2015
10,"USA","BET","LL",3050.00,2015
9,"PER","BET","NK",0.70,2015
8,"PAN","BET","LL",364.00,2015
6,"JPN","BET","LL",13097.00,2015
5,"ECU","BET","LL",158.80,2015
4,"CRI","BET","LL",8.09,2015
12,"ESP","BET","LL",162.00,2015
10,"USA","BET","LL",2087.00,2016
46,"PYF","BET","NK",19.58,2016
46,"PYF","BET","LL",477.42,2016
43,"CHN","BET","LL",7052.00,2016
31,"BLZ","BET","LL",0.10,2016
28,"VUT","BET","LL",762.00,2016
24,"TWN","BET","LL",6053.50,2016
23,"KOR","BET","LL",7692.00,2016
4,"CRI","BET","LL",3.20,2016
10,"USA","BET","OTR",1.11,2016
9,"PER","BET","NK",1.00,2016
8,"PAN","BET","LL",293.00,2016
6,"JPN","BET","LL",10426.80,2016
5,"ECU","BET","LL",482.60,2016
12,"ESP","BET","LL",195.60,2016
43,"CHN","BET","LL",7076.00,2017
6,"JPN","BET","LL",9617.00,2017
23,"KOR","BET","LL",7407.00,2017
24,"TWN","BET","LL",6281.00,2017
28,"VUT","BET","LL",757.00,2017
