"SpeciesAbv","Yrr","Quarter","FlagAbv","SumOfNumber","SumOfWeight","Lon","Lat"
"BET",1958,2.00,"JPN",2406.00,,-122.50,-2.50
"BET",1958,2.00,"JPN",11.00,,-122.50,2.50
"BET",1958,2.00,"JPN",3010.00,,-117.50,-7.50
"BET",1958,2.00,"JPN",1495.00,,-117.50,-2.50
"BET",1958,2.00,"JPN",3079.00,,-112.50,-7.50
"BET",1958,2.00,"JPN",3755.00,,-107.50,-7.50
"BET",1958,2.00,"JPN",63.00,,-102.50,-7.50
"BET",1958,2.00,"JPN",143.00,,-102.50,2.50
"BET",1958,3.00,"JPN",31.00,,-147.50,-22.50
"BET",1958,3.00,"JPN",4.00,,-147.50,-17.50
"BET",1958,3.00,"JPN",58.00,,-147.50,-12.50
"BET",1958,3.00,"JPN",470.00,,-147.50,-7.50
"BET",1958,3.00,"JPN",6.00,,-147.50,-2.50
"BET",1958,3.00,"JPN",1274.00,,-147.50,2.50
"BET",1958,3.00,"JPN",7570.00,,-147.50,7.50
"BET",1958,3.00,"JPN",54.00,,-147.50,27.50
"BET",1958,3.00,"JPN",3916.00,,-147.50,32.50
"BET",1958,3.00,"JPN",160.00,,-142.50,-22.50
"BET",1958,3.00,"JPN",28.00,,-142.50,-17.50
"BET",1958,3.00,"JPN",4.00,,-142.50,-12.50
"BET",1958,3.00,"JPN",8.00,,-142.50,-2.50
"BET",1958,3.00,"JPN",1771.00,,-142.50,2.50
"BET",1958,3.00,"JPN",3950.00,,-142.50,7.50
"BET",1958,3.00,"JPN",1586.00,,-142.50,32.50
"BET",1958,3.00,"JPN",392.00,,-137.50,-22.50
"BET",1958,3.00,"JPN",63.00,,-137.50,-17.50
"BET",1958,3.00,"JPN",88.00,,-137.50,-7.50
"BET",1958,3.00,"JPN",546.00,,-137.50,-2.50
"BET",1958,3.00,"JPN",512.00,,-137.50,2.50
"BET",1958,3.00,"JPN",3999.00,,-137.50,7.50
"BET",1958,3.00,"JPN",211.00,,-137.50,32.50
"BET",1958,3.00,"JPN",62.00,,-132.50,-22.50
"BET",1958,3.00,"JPN",46.00,,-132.50,-7.50
"BET",1958,3.00,"JPN",207.00,,-132.50,2.50
"BET",1958,3.00,"JPN",777.00,,-132.50,7.50
"BET",1958,3.00,"JPN",28.00,,-127.50,-12.50
"BET",1958,3.00,"JPN",1358.00,,-127.50,-7.50
"BET",1958,3.00,"JPN",663.00,,-127.50,-2.50
"BET",1958,3.00,"JPN",668.00,,-127.50,2.50
"BET",1958,3.00,"JPN",132.00,,-122.50,-7.50
"BET",1958,3.00,"JPN",84.00,,-122.50,-2.50
"BET",1958,3.00,"JPN",808.00,,-117.50,-12.50
"BET",1958,3.00,"JPN",10210.00,,-117.50,-7.50
"BET",1958,3.00,"JPN",158.00,,-117.50,-2.50
"BET",1958,3.00,"JPN",7995.00,,-112.50,-7.50
"BET",1958,3.00,"JPN",330.00,,-112.50,-2.50
"BET",1958,3.00,"JPN",7069.00,,-107.50,-7.50
"BET",1958,3.00,"JPN",105.00,,-107.50,2.50
"BET",1958,4.00,"JPN",3.00,,-147.50,-22.50
"BET",1958,4.00,"JPN",39.00,,-147.50,-17.50
"BET",1958,4.00,"JPN",29.00,,-147.50,-12.50
"BET",1958,4.00,"JPN",4.00,,-147.50,-2.50
"BET",1958,4.00,"JPN",1564.00,,-147.50,2.50
"BET",1958,4.00,"JPN",637.00,,-147.50,7.50
"BET",1958,4.00,"JPN",8356.00,,-147.50,32.50
"BET",1958,4.00,"JPN",125.00,,-142.50,-22.50
"BET",1958,4.00,"JPN",269.00,,-142.50,-17.50
"BET",1958,4.00,"JPN",122.00,,-142.50,-12.50
"BET",1958,4.00,"JPN",74.00,,-142.50,-2.50
"BET",1958,4.00,"JPN",774.00,,-142.50,2.50
"BET",1958,4.00,"JPN",286.00,,-142.50,7.50
"BET",1958,4.00,"JPN",7019.00,,-142.50,32.50
"BET",1958,4.00,"JPN",476.00,,-137.50,-22.50
"BET",1958,4.00,"JPN",533.00,,-137.50,-17.50
"BET",1958,4.00,"JPN",118.00,,-137.50,-7.50
"BET",1958,4.00,"JPN",6.00,,-137.50,-2.50
"BET",1958,4.00,"JPN",163.00,,-137.50,2.50
"BET",1958,4.00,"JPN",511.00,,-137.50,7.50
"BET",1958,4.00,"JPN",664.00,,-132.50,-22.50
"BET",1958,4.00,"JPN",516.00,,-132.50,-17.50
"BET",1958,4.00,"JPN",2763.00,,-132.50,-7.50
"BET",1958,4.00,"JPN",220.00,,-127.50,-12.50
"BET",1958,4.00,"JPN",10884.00,,-127.50,-7.50
"BET",1958,4.00,"JPN",150.00,,-127.50,-2.50
"BET",1958,4.00,"JPN",556.00,,-122.50,-12.50
"BET",1958,4.00,"JPN",8414.00,,-122.50,-7.50
"BET",1958,4.00,"JPN",1058.00,,-117.50,-12.50
"BET",1958,4.00,"JPN",8972.00,,-117.50,-7.50
"BET",1958,4.00,"JPN",76.00,,-117.50,2.50
"BET",1958,4.00,"JPN",841.00,,-112.50,-12.50
"BET",1958,4.00,"JPN",5582.00,,-112.50,-7.50
"BET",1958,4.00,"JPN",1035.00,,-107.50,-12.50
"BET",1958,4.00,"JPN",770.00,,-107.50,-7.50
"BET",1959,1.00,"JPN",3.00,,-147.50,-22.50
"BET",1959,1.00,"JPN",120.00,,-147.50,-17.50
"BET",1959,1.00,"JPN",448.00,,-147.50,-12.50
"BET",1959,1.00,"JPN",213.00,,-147.50,-7.50
"BET",1959,1.00,"JPN",30.00,,-147.50,-2.50
"BET",1959,1.00,"JPN",8.00,,-142.50,-22.50
"BET",1959,1.00,"JPN",8.00,,-142.50,-17.50
"BET",1959,1.00,"JPN",146.00,,-142.50,-12.50
"BET",1959,1.00,"JPN",362.00,,-142.50,-7.50
"BET",1959,1.00,"JPN",142.00,,-137.50,-22.50
"BET",1959,1.00,"JPN",16.00,,-137.50,-17.50
"BET",1959,1.00,"JPN",2191.00,,-137.50,-12.50
"BET",1959,1.00,"JPN",869.00,,-137.50,-7.50
"BET",1959,1.00,"JPN",370.00,,-132.50,-22.50
"BET",1959,1.00,"JPN",60.00,,-132.50,-17.50
"BET",1959,1.00,"JPN",457.00,,-132.50,-12.50
"BET",1959,1.00,"JPN",6881.00,,-132.50,-7.50
"BET",1959,1.00,"JPN",70.00,,-132.50,-2.50
"BET",1959,1.00,"JPN",118.00,,-127.50,-22.50
"BET",1959,1.00,"JPN",117.00,,-127.50,-17.50
"BET",1959,1.00,"JPN",915.00,,-127.50,-12.50
"BET",1959,1.00,"JPN",4778.00,,-127.50,-7.50
"BET",1959,1.00,"JPN",553.00,,-122.50,-12.50
"BET",1959,1.00,"JPN",10892.00,,-122.50,-7.50
"BET",1959,1.00,"JPN",1906.00,,-122.50,-2.50
"BET",1959,1.00,"JPN",383.00,,-117.50,-12.50
"BET",1959,1.00,"JPN",11054.00,,-117.50,-7.50
"BET",1959,1.00,"JPN",4147.00,,-117.50,7.50
"BET",1959,1.00,"JPN",286.00,,-112.50,-12.50
"BET",1959,1.00,"JPN",6019.00,,-112.50,-7.50
"BET",1959,1.00,"JPN",407.00,,-112.50,-2.50
"BET",1959,1.00,"JPN",930.00,,-107.50,-12.50
"BET",1959,1.00,"JPN",1330.00,,-107.50,-7.50
"BET",1959,1.00,"JPN",1650.00,,-107.50,-2.50
"BET",1959,2.00,"JPN",343.00,,-147.50,-7.50
"BET",1959,2.00,"JPN",38.00,,-147.50,-2.50
"BET",1959,2.00,"JPN",1727.00,,-147.50,2.50
"BET",1959,2.00,"JPN",174.00,,-147.50,7.50
"BET",1959,2.00,"JPN",63.00,,-142.50,-7.50
"BET",1959,2.00,"JPN",1348.00,,-142.50,2.50
"BET",1959,2.00,"JPN",249.00,,-142.50,7.50
"BET",1959,2.00,"JPN",126.00,,-137.50,-12.50
"BET",1959,2.00,"JPN",60.00,,-137.50,-2.50
"BET",1959,2.00,"JPN",2249.00,,-137.50,2.50
"BET",1959,2.00,"JPN",290.00,,-137.50,7.50
"BET",1959,2.00,"JPN",307.00,,-132.50,-7.50
"BET",1959,2.00,"JPN",229.00,,-132.50,-2.50
"BET",1959,2.00,"JPN",1224.00,,-132.50,2.50
"BET",1959,2.00,"JPN",465.00,,-132.50,7.50
"BET",1959,2.00,"JPN",3652.00,,-127.50,-7.50
"BET",1959,2.00,"JPN",551.00,,-127.50,-2.50
"BET",1959,2.00,"JPN",1024.00,,-127.50,2.50
"BET",1959,2.00,"JPN",410.00,,-127.50,7.50
"BET",1959,2.00,"JPN",682.00,,-122.50,-7.50
"BET",1959,2.00,"JPN",50.00,,-122.50,-2.50
"BET",1959,2.00,"JPN",43.00,,-122.50,2.50
"BET",1959,2.00,"JPN",188.00,,-122.50,7.50
"BET",1959,2.00,"JPN",2507.00,,-117.50,-7.50
"BET",1959,2.00,"JPN",69.00,,-117.50,-2.50
"BET",1959,2.00,"JPN",3.00,,-117.50,2.50
"BET",1959,2.00,"JPN",3536.00,,-112.50,-7.50
"BET",1959,2.00,"JPN",354.00,,-112.50,-2.50
"BET",1959,2.00,"JPN",45.00,,-107.50,-12.50
"BET",1959,2.00,"JPN",1021.00,,-107.50,-7.50
"BET",1959,3.00,"JPN",39.00,,-147.50,-22.50
"BET",1959,3.00,"JPN",87.00,,-147.50,-12.50
"BET",1959,3.00,"JPN",1126.00,,-147.50,-7.50
"BET",1959,3.00,"JPN",709.00,,-147.50,2.50
"BET",1959,3.00,"JPN",7761.00,,-147.50,7.50
"BET",1959,3.00,"JPN",2744.00,,-147.50,27.50
"BET",1959,3.00,"JPN",3391.00,,-147.50,32.50
"BET",1959,3.00,"JPN",583.00,,-142.50,-7.50
"BET",1959,3.00,"JPN",3996.00,,-142.50,2.50
"BET",1959,3.00,"JPN",3865.00,,-142.50,7.50
"BET",1959,3.00,"JPN",601.00,,-142.50,27.50
"BET",1959,3.00,"JPN",1001.00,,-142.50,32.50
"BET",1959,3.00,"JPN",65.00,,-137.50,-12.50
"BET",1959,3.00,"JPN",111.00,,-137.50,-7.50
"BET",1959,3.00,"JPN",60.00,,-137.50,-2.50
"BET",1959,3.00,"JPN",2982.00,,-137.50,2.50
"BET",1959,3.00,"JPN",8691.00,,-137.50,7.50
"BET",1959,3.00,"JPN",25.00,,-132.50,-22.50
"BET",1959,3.00,"JPN",40.00,,-132.50,-17.50
"BET",1959,3.00,"JPN",12.00,,-132.50,-12.50
"BET",1959,3.00,"JPN",3178.00,,-132.50,-7.50
"BET",1959,3.00,"JPN",146.00,,-132.50,-2.50
"BET",1959,3.00,"JPN",1433.00,,-132.50,2.50
"BET",1959,3.00,"JPN",4538.00,,-132.50,7.50
"BET",1959,3.00,"JPN",227.00,,-127.50,-22.50
"BET",1959,3.00,"JPN",32.00,,-127.50,-12.50
"BET",1959,3.00,"JPN",6460.00,,-127.50,-7.50
"BET",1959,3.00,"JPN",88.00,,-127.50,-2.50
"BET",1959,3.00,"JPN",595.00,,-127.50,2.50
"BET",1959,3.00,"JPN",1291.00,,-127.50,7.50
"BET",1959,3.00,"JPN",5395.00,,-122.50,-7.50
"BET",1959,3.00,"JPN",129.00,,-122.50,2.50
"BET",1959,3.00,"JPN",68.00,,-122.50,7.50
"BET",1959,3.00,"JPN",2594.00,,-117.50,-7.50
"BET",1959,3.00,"JPN",15.00,,-117.50,7.50
"BET",1959,3.00,"JPN",25.00,,-112.50,-12.50
"BET",1959,3.00,"JPN",3590.00,,-112.50,-7.50
"BET",1959,3.00,"JPN",1079.00,,-107.50,-7.50
"BET",1959,3.00,"JPN",78.00,,-107.50,2.50
"BET",1959,3.00,"JPN",37.00,,-102.50,2.50
"BET",1959,3.00,"JPN",767.00,,-102.50,7.50
"BET",1959,4.00,"JPN",1412.00,,-147.50,7.50
"BET",1959,4.00,"JPN",62.00,,-147.50,22.50
"BET",1959,4.00,"JPN",3085.00,,-147.50,27.50
"BET",1959,4.00,"JPN",4679.00,,-147.50,32.50
"BET",1959,4.00,"JPN",2.00,,-142.50,-17.50
"BET",1959,4.00,"JPN",47.00,,-142.50,-12.50
"BET",1959,4.00,"JPN",2.00,,-142.50,-2.50
"BET",1959,4.00,"JPN",782.00,,-142.50,2.50
"BET",1959,4.00,"JPN",1109.00,,-142.50,7.50
"BET",1959,4.00,"JPN",271.00,,-142.50,27.50
"BET",1959,4.00,"JPN",10644.00,,-142.50,32.50
"BET",1959,4.00,"JPN",138.00,,-137.50,-22.50
"BET",1959,4.00,"JPN",65.00,,-137.50,-17.50
"BET",1959,4.00,"JPN",39.00,,-137.50,-12.50
"BET",1959,4.00,"JPN",593.00,,-137.50,-2.50
"BET",1959,4.00,"JPN",44.00,,-137.50,2.50
"BET",1959,4.00,"JPN",4765.00,,-137.50,7.50
"BET",1959,4.00,"JPN",5.00,,-132.50,-22.50
"BET",1959,4.00,"JPN",153.00,,-132.50,-7.50
"BET",1959,4.00,"JPN",302.00,,-132.50,-2.50
"BET",1959,4.00,"JPN",21708.00,,-132.50,7.50
